tensor(6.3690, grad_fn=<AddBackward0>)
tensor(6.5816, grad_fn=<AddBackward0>)
tensor(7.6103, grad_fn=<AddBackward0>)
tensor(4.5932, grad_fn=<AddBackward0>)
tensor(8.9389, grad_fn=<AddBackward0>)
tensor(6.8020, grad_fn=<AddBackward0>)
tensor(6.5155, grad_fn=<AddBackward0>)
tensor(5.2798, grad_fn=<AddBackward0>)
tensor(7.2124, grad_fn=<AddBackward0>)
tensor(9.0454, grad_fn=<AddBackward0>)
tensor(8.1601, grad_fn=<AddBackward0>)
tensor(6.0921, grad_fn=<AddBackward0>)
tensor(6.8742, grad_fn=<AddBackward0>)
tensor(6.7829, grad_fn=<AddBackward0>)
tensor(8.2392, grad_fn=<AddBackward0>)
tensor(6.7501, grad_fn=<AddBackward0>)
tensor(7.0263, grad_fn=<AddBackward0>)
tensor(6.8415, grad_fn=<AddBackward0>)
tensor(8.0707, grad_fn=<AddBackward0>)
tensor(7.7547, grad_fn=<AddBackward0>)
tensor(4.8805, grad_fn=<AddBackward0>)
tensor(6.4889, grad_fn=<AddBackward0>)
tensor(6.1188, grad_fn=<AddBackward0>)
tensor(7.1325, grad_fn=<AddBackward0>)
tensor(5.1817, grad_fn=<AddBackward0>)
tensor(7.1902, grad_fn=<AddBackward0>)
tensor(7.0748, grad_fn=<AddBackward0>)
tensor(6.2159, grad_fn=<AddBackward0>)
tensor(7.4802, grad_fn=<AddBackward0>)
tensor(5.5709, grad_fn=<AddBackward0>)
tensor(8.3676, grad_fn=<AddBackward0>)
tensor(6.3673, grad_fn=<AddBackward0>)
tensor(4.6970, grad_fn=<AddBackward0>)
tensor(8.7951, grad_fn=<AddBackward0>)
tensor(7.3091, grad_fn=<AddBackward0>)
tensor(6.5141, grad_fn=<AddBackward0>)
tensor(7.3084, grad_fn=<AddBackward0>)
tensor(7.4293, grad_fn=<AddBackward0>)
tensor(7.2286, grad_fn=<AddBackward0>)
tensor(6.0732, grad_fn=<AddBackward0>)
tensor(7.4818, grad_fn=<AddBackward0>)
tensor(8.3391, grad_fn=<AddBackward0>)
tensor(5.7989, grad_fn=<AddBackward0>)
tensor(6.9192, grad_fn=<AddBackward0>)
tensor(5.2811, grad_fn=<AddBackward0>)
tensor(7.8999, grad_fn=<AddBackward0>)
tensor(6.3443, grad_fn=<AddBackward0>)
tensor(7.4066, grad_fn=<AddBackward0>)
tensor(5.6856, grad_fn=<AddBackward0>)
tensor(7.2378, grad_fn=<AddBackward0>)
tensor(6.6805, grad_fn=<AddBackward0>)
tensor(6.7673, grad_fn=<AddBackward0>)
tensor(8.1660, grad_fn=<AddBackward0>)
tensor(6.7326, grad_fn=<AddBackward0>)
tensor(6.4119, grad_fn=<AddBackward0>)
tensor(6.0884, grad_fn=<AddBackward0>)
tensor(7.2204, grad_fn=<AddBackward0>)
tensor(7.6124, grad_fn=<AddBackward0>)
tensor(5.5189, grad_fn=<AddBackward0>)
tensor(4.7782, grad_fn=<AddBackward0>)
tensor(8.0233, grad_fn=<AddBackward0>)
tensor(6.2125, grad_fn=<AddBackward0>)
tensor(6.3380, grad_fn=<AddBackward0>)
tensor(6.3879, grad_fn=<AddBackward0>)
tensor(6.4861, grad_fn=<AddBackward0>)
tensor(7.0676, grad_fn=<AddBackward0>)
tensor(9.1932, grad_fn=<AddBackward0>)
tensor(5.5432, grad_fn=<AddBackward0>)
tensor(7.0097, grad_fn=<AddBackward0>)
tensor(5.0755, grad_fn=<AddBackward0>)
tensor(5.4506, grad_fn=<AddBackward0>)
tensor(6.3233, grad_fn=<AddBackward0>)
tensor(5.5956, grad_fn=<AddBackward0>)
tensor(7.4724, grad_fn=<AddBackward0>)
tensor(6.4681, grad_fn=<AddBackward0>)
tensor(4.5534, grad_fn=<AddBackward0>)
tensor(7.7027, grad_fn=<AddBackward0>)
tensor(6.7574, grad_fn=<AddBackward0>)
tensor(6.4083, grad_fn=<AddBackward0>)
tensor(6.4207, grad_fn=<AddBackward0>)
tensor(8.0629, grad_fn=<AddBackward0>)
tensor(5.6411, grad_fn=<AddBackward0>)
tensor(8.1340, grad_fn=<AddBackward0>)
tensor(8.4667, grad_fn=<AddBackward0>)
tensor(5.8544, grad_fn=<AddBackward0>)
tensor(6.3496, grad_fn=<AddBackward0>)
tensor(5.9969, grad_fn=<AddBackward0>)
tensor(6.5718, grad_fn=<AddBackward0>)
tensor(5.8627, grad_fn=<AddBackward0>)
